timestamp,app_name,env,state,action,reward,q_value
2025-12-06T12:46:43.598026,test,state,test_state,restart,15.00,1.5000
2025-12-06T12:48:29.704842,sample,backend,sample_backend_stage_healthy_err0,restart,10.00,1.0000
2025-12-06T12:48:30.708520,sample,backend,sample_backend_stage_healthy_err0,restart,10.00,1.9900
2025-12-06T12:48:31.711587,sample,backend,sample_backend_stage_healthy_err0,restart,10.00,2.9701
2025-12-06T12:48:32.716752,sample,frontend,sample_frontend_stage_healthy_err0,deploy,10.00,1.0000
2025-12-06T12:48:33.718642,sample,frontend,sample_frontend_stage_healthy_err0,deploy,10.00,1.9900
2025-12-06T12:48:34.721522,sample,frontend,sample_frontend_stage_healthy_err0,scale_down,10.00,1.1791
2025-12-06T12:48:35.726431,api,service,api_service_dev_healthy_err0,scale_down,10.00,1.0000
2025-12-06T12:48:36.728644,api,service,api_service_dev_healthy_err0,scale_down,10.00,1.9900
2025-12-06T12:48:37.731345,api,service,api_service_dev_healthy_err0,scale_down,10.00,2.9701
2025-12-06T12:50:29.054469,test,state,test_state,restart,15.00,1.5000
2025-12-06T12:50:34.718786,sample,backend,sample_backend_stage_healthy_err0,scale_up,10.00,1.0000
2025-12-06T12:50:35.722175,sample,backend,sample_backend_stage_healthy_err0,scale_up,10.00,1.9900
2025-12-06T12:50:36.728862,sample,backend,sample_backend_stage_healthy_err0,scale_up,10.00,2.9701
2025-12-06T12:50:37.734376,sample,backend,sample_backend_stage_healthy_err0,deploy,10.00,1.2673
2025-12-06T12:50:38.737654,sample,backend,sample_backend_stage_healthy_err0,scale_up,10.00,3.9404
2025-12-06T12:50:45.900143,sample,backend,sample_backend_stage_healthy_err0,scale_down,10.00,1.0000
2025-12-06T12:50:46.904486,sample,backend,sample_backend_stage_healthy_err0,scale_down,10.00,1.9900
2025-12-06T12:50:47.908656,sample,backend,sample_backend_stage_healthy_err0,scale_down,10.00,2.9701
2025-12-06T12:50:48.915604,sample,frontend,sample_frontend_stage_healthy_err0,scale_down,10.00,1.0000
2025-12-06T12:50:49.918514,sample,frontend,sample_frontend_stage_healthy_err0,scale_down,10.00,1.9900
2025-12-06T12:50:50.921755,sample,frontend,sample_frontend_stage_healthy_err0,scale_down,10.00,2.9701
2025-12-06T12:50:51.929136,api,service,api_service_dev_healthy_err0,stop,10.00,1.0000
2025-12-06T12:50:52.932333,api,service,api_service_dev_healthy_err0,stop,10.00,1.9900
2025-12-06T12:50:53.935390,api,service,api_service_dev_healthy_err0,restart,10.00,1.1791
2025-12-06T12:52:05.201416,sample,backend,sample_backend_stage_healthy_err0,scale_down,10.00,1.0000
2025-12-06T12:52:06.204881,sample,backend,sample_backend_stage_healthy_err0,scale_down,10.00,1.9900
2025-12-06T12:52:07.208829,sample,backend,sample_backend_stage_healthy_err0,scale_down,10.00,2.9701
2025-12-06T12:52:08.211831,sample,backend,sample_backend_stage_healthy_err0,scale_down,10.00,3.9404
2025-12-06T12:52:09.215232,sample,backend,sample_backend_stage_healthy_err0,scale_down,10.00,4.9010
2025-12-06T12:52:10.426431,sample,frontend,sample_frontend_dev_healthy_err0,restart,10.00,1.0000
2025-12-06T12:52:11.430083,sample,frontend,sample_frontend_dev_healthy_err0,restart,10.00,1.9900
2025-12-06T12:52:12.433520,sample,frontend,sample_frontend_dev_healthy_err0,restart,10.00,2.9701
2025-12-06T12:52:13.437626,sample,frontend,sample_frontend_dev_healthy_err0,restart,10.00,3.9404
2025-12-06T12:52:14.441190,sample,frontend,sample_frontend_dev_healthy_err0,restart,10.00,4.9010
2025-12-06T12:52:15.658015,api,service,api_service_prod_healthy_err0,scale_down,10.00,1.0000
2025-12-06T12:52:16.661769,api,service,api_service_prod_healthy_err0,scale_down,10.00,1.9900
2025-12-06T12:52:17.665392,api,service,api_service_prod_healthy_err0,scale_down,10.00,2.9701
2025-12-06T12:52:18.668950,api,service,api_service_prod_healthy_err0,scale_down,10.00,3.9404
2025-12-06T12:52:19.673433,api,service,api_service_prod_healthy_err0,scale_down,10.00,4.9010
2025-12-08T12:02:15.986738,sample,backend,sample_backend_stage_healthy_err0,stop,10.00,1.0000
2025-12-08T12:02:16.988213,sample,backend,sample_backend_stage_healthy_err0,stop,10.00,1.9900
2025-12-08T12:02:17.989743,sample,backend,sample_backend_stage_healthy_err0,stop,10.00,2.9701
2025-12-08T12:02:18.993215,sample,frontend,sample_frontend_stage_healthy_err0,scale_up,10.00,1.0000
2025-12-08T12:02:19.994693,sample,frontend,sample_frontend_stage_healthy_err0,scale_up,10.00,1.9900
2025-12-08T12:02:20.996802,sample,frontend,sample_frontend_stage_healthy_err0,scale_up,10.00,2.9701
2025-12-08T12:02:22.000090,api,service,api_service_dev_healthy_err0,scale_up,10.00,1.0000
2025-12-08T12:02:23.001664,api,service,api_service_dev_healthy_err0,scale_up,10.00,1.9900
2025-12-08T12:02:24.003459,api,service,api_service_dev_healthy_err0,scale_up,10.00,2.9701
2025-12-08T12:04:49.734567,sample,backend,sample_backend_stage_healthy_err0,restart,10.00,1.0000
2025-12-08T12:04:50.736588,sample,backend,sample_backend_stage_healthy_err0,restart,10.00,1.9900
2025-12-08T12:04:51.738888,sample,backend,sample_backend_stage_healthy_err0,restart,10.00,2.9701
2025-12-08T12:04:52.741207,sample,backend,sample_backend_stage_healthy_err0,deploy,10.00,1.2673
2025-12-08T12:04:53.743030,sample,backend,sample_backend_stage_healthy_err0,restart,10.00,3.9404
2025-12-08T12:04:54.747721,sample,frontend,sample_frontend_stage_healthy_err0,stop,10.00,1.0000
2025-12-08T12:04:55.749648,sample,frontend,sample_frontend_stage_healthy_err0,stop,10.00,1.9900
2025-12-08T12:04:56.751089,sample,frontend,sample_frontend_stage_healthy_err0,stop,10.00,2.9701
2025-12-08T12:04:57.753278,sample,frontend,sample_frontend_stage_healthy_err0,deploy,10.00,1.2673
2025-12-08T12:04:58.755587,sample,frontend,sample_frontend_stage_healthy_err0,stop,10.00,3.9404
2025-12-08T12:04:59.759515,api,service,api_service_dev_healthy_err0,restart,10.00,1.0000
2025-12-08T12:05:00.762012,api,service,api_service_dev_healthy_err0,restart,10.00,1.9900
2025-12-08T12:05:01.764408,api,service,api_service_dev_healthy_err0,restart,10.00,2.9701
2025-12-08T12:05:02.766923,api,service,api_service_dev_healthy_err0,restart,10.00,3.9404
2025-12-08T12:05:03.769292,api,service,api_service_dev_healthy_err0,restart,10.00,4.9010
2025-12-08T12:06:14.316741,sample,backend,sample_backend_stage_healthy_err0,scale_down,10.00,1.0000
2025-12-08T12:06:15.318203,sample,backend,sample_backend_stage_healthy_err0,scale_down,10.00,1.9900
2025-12-08T12:06:16.319870,sample,backend,sample_backend_stage_healthy_err0,scale_down,10.00,2.9701
2025-12-08T12:06:17.323169,sample,frontend,sample_frontend_stage_healthy_err0,scale_down,10.00,1.0000
2025-12-08T12:06:18.325261,sample,frontend,sample_frontend_stage_healthy_err0,scale_down,10.00,1.9900
2025-12-08T12:06:19.326646,sample,frontend,sample_frontend_stage_healthy_err0,scale_down,10.00,2.9701
2025-12-08T12:06:20.329610,api,service,api_service_dev_healthy_err0,restart,10.00,1.0000
2025-12-08T12:06:21.331620,api,service,api_service_dev_healthy_err0,restart,10.00,1.9900
2025-12-08T12:06:22.334000,api,service,api_service_dev_healthy_err0,restart,10.00,2.9701
2025-12-08T12:07:54.664945,sample,backend,sample_backend_stage_healthy_err0,restart,10.00,1.0000
2025-12-08T12:07:55.667097,sample,backend,sample_backend_stage_healthy_err0,scale_down,10.00,1.0900
2025-12-08T12:07:56.668668,sample,backend,sample_backend_stage_healthy_err0,scale_down,10.00,2.0791
2025-12-08T12:07:57.672301,sample,frontend,sample_frontend_stage_healthy_err0,stop,10.00,1.0000
2025-12-08T12:07:58.673399,sample,frontend,sample_frontend_stage_healthy_err0,stop,10.00,1.9900
2025-12-08T12:07:59.675506,sample,frontend,sample_frontend_stage_healthy_err0,stop,10.00,2.9701
2025-12-08T12:08:00.678785,api,service,api_service_dev_healthy_err0,scale_down,10.00,1.0000
2025-12-08T12:08:01.680216,api,service,api_service_dev_healthy_err0,scale_down,10.00,1.9900
2025-12-08T12:08:02.682109,api,service,api_service_dev_healthy_err0,scale_down,10.00,2.9701
2025-12-08T12:08:55.315535,sample,backend,sample_backend_stage_healthy_err0,scale_down,10.00,1.0000
2025-12-08T12:08:56.317616,sample,backend,sample_backend_stage_healthy_err0,scale_down,10.00,1.9900
2025-12-08T12:08:57.319951,sample,backend,sample_backend_stage_healthy_err0,scale_down,10.00,2.9701
2025-12-08T12:08:58.324134,sample,frontend,sample_frontend_stage_healthy_err0,restart,10.00,1.0000
2025-12-08T12:08:59.326233,sample,frontend,sample_frontend_stage_healthy_err0,restart,10.00,1.9900
2025-12-08T12:09:00.328113,sample,frontend,sample_frontend_stage_healthy_err0,stop,10.00,1.1791
2025-12-08T12:09:01.332115,api,service,api_service_dev_healthy_err0,restart,10.00,1.0000
2025-12-08T12:09:02.334899,api,service,api_service_dev_healthy_err0,restart,10.00,1.9900
2025-12-08T12:09:03.337563,api,service,api_service_dev_healthy_err0,restart,10.00,2.9701
2025-12-08T17:30:13.739188,sample,backend,sample_backend_stage_healthy_err0,scale_down,10.00,1.0000
2025-12-08T17:30:14.744337,sample,backend,sample_backend_stage_healthy_err0,scale_down,10.00,1.9900
2025-12-08T17:30:15.747824,sample,backend,sample_backend_stage_healthy_err0,scale_down,10.00,2.9701
2025-12-08T17:30:16.758577,sample,frontend,sample_frontend_stage_healthy_err0,restart,10.00,1.0000
2025-12-08T17:30:17.763862,sample,frontend,sample_frontend_stage_healthy_err0,restart,10.00,1.9900
2025-12-08T17:30:18.768092,sample,frontend,sample_frontend_stage_healthy_err0,restart,10.00,2.9701
2025-12-08T17:30:19.777883,api,service,api_service_dev_healthy_err0,scale_up,10.00,1.0000
2025-12-08T17:30:20.781247,api,service,api_service_dev_healthy_err0,scale_up,10.00,1.9900
2025-12-08T17:30:21.785886,api,service,api_service_dev_healthy_err0,scale_up,10.00,2.9701
2025-12-10T13:13:51.564911,sample,backend,sample_backend_stage_healthy_err0,deploy,10.00,1.0000
2025-12-10T13:13:52.572979,sample,backend,sample_backend_stage_healthy_err0,deploy,10.00,1.9900
2025-12-10T13:13:53.576202,sample,backend,sample_backend_stage_healthy_err0,deploy,10.00,2.9701
2025-12-10T13:13:54.625035,sample,frontend,sample_frontend_stage_healthy_err0,scale_down,10.00,1.0000
2025-12-10T13:13:55.628090,sample,frontend,sample_frontend_stage_healthy_err0,scale_down,10.00,1.9900
2025-12-10T13:13:56.631526,sample,frontend,sample_frontend_stage_healthy_err0,scale_down,10.00,2.9701
2025-12-10T13:13:57.683238,api,service,api_service_dev_healthy_err0,deploy,10.00,1.0000
2025-12-10T13:13:58.687758,api,service,api_service_dev_healthy_err0,deploy,10.00,1.9900
2025-12-10T13:13:59.691341,api,service,api_service_dev_healthy_err0,deploy,10.00,2.9701
2025-12-10T13:55:11.481336,sample,backend,sample_backend_stage_not_deployed_err100,deploy,10.00,1.0000
2025-12-10T13:55:12.483776,sample,backend,sample_backend_stage_healthy_err0,stop,10.00,1.0000
2025-12-11T17:30:28.435561,sample,backend,sample_backend_stage_not_deployed_err100,restart,10.00,1.0000
2025-12-11T17:30:29.441213,sample,backend,sample_backend_stage_healthy_err5,restart,10.00,1.0000
2025-12-11T17:30:30.445179,sample,backend,sample_backend_stage_healthy_err9,scale_up,10.00,1.0000
2025-12-11T17:30:31.515965,sample,frontend,sample_frontend_stage_not_deployed_err100,scale_up,10.00,1.0000
2025-12-11T17:30:32.519257,sample,frontend,sample_frontend_stage_not_deployed_err100,scale_up,10.00,1.9900
2025-12-11T17:30:33.522782,sample,frontend,sample_frontend_stage_not_deployed_err100,scale_up,10.00,2.9701
2025-12-11T17:30:34.599319,api,service,api_service_dev_not_deployed_err100,deploy,10.00,1.0000
2025-12-11T17:30:35.602730,api,service,api_service_dev_healthy_err10,scale_up,10.00,1.0000
2025-12-11T17:30:36.606511,api,service,api_service_dev_healthy_err4,restart,10.00,1.0000
2025-12-16T12:40:37.557097,sample,backend,sample_backend_stage_unknown_err0,restart,10.00,1.0000
2025-12-16T12:40:54.916919,sample,backend,sample_backend_stage_unknown_err0,stop,10.00,1.0900
2025-12-16T12:49:33.573337,sample,backend,sample_backend_stage_unknown_err0,scale_up,10.00,1.0000
2025-12-16T12:49:55.045785,sample,backend,sample_backend_stage_unknown_err0,scale_up,10.00,1.9900
